,Value_Agt_0,Value_Agt_1,Value_Agt_2,Value_Agt_3
0,2.0,2.0,2.0,-172.0
1,14.0,14.0,14.0,-202.0
2,34.0,34.0,34.0,-232.0
3,26.0,26.0,26.0,-228.0
4,6.0,6.0,6.0,-158.0
5,8.0,8.0,8.0,-206.0
6,16.0,16.0,16.0,-242.0
7,24.0,24.0,24.0,-234.0
8,20.0,20.0,20.0,-234.0
9,30.0,30.0,30.0,-198.0
10,26.0,26.0,26.0,-216.0
11,12.0,12.0,12.0,-220.0
12,6.0,6.0,6.0,-188.0
13,4.0,4.0,4.0,-160.0
14,10.0,10.0,10.0,-160.0
15,34.0,34.0,34.0,-188.0
16,4.0,4.0,4.0,-170.0
17,4.0,4.0,4.0,-208.0
18,10.0,10.0,10.0,-182.0
19,16.0,16.0,16.0,-196.0
20,18.0,18.0,18.0,-186.0
21,32.0,32.0,32.0,-222.0
22,4.0,4.0,4.0,-184.0
23,24.0,24.0,24.0,-224.0
24,30.0,30.0,30.0,-226.0
25,18.0,18.0,18.0,-194.0
26,6.0,6.0,6.0,-204.0
27,22.0,22.0,22.0,-168.0
28,48.0,48.0,48.0,-186.0
29,8.0,8.0,8.0,-208.0
30,12.0,12.0,12.0,-148.0
31,56.0,56.0,56.0,-220.0
32,18.0,18.0,18.0,-200.0
33,18.0,18.0,18.0,-196.0
34,2.0,2.0,2.0,-166.0
35,32.0,32.0,32.0,-224.0
36,38.0,38.0,38.0,-192.0
37,40.0,40.0,40.0,-190.0
38,24.0,24.0,24.0,-192.0
39,28.0,28.0,28.0,-212.0
40,12.0,12.0,12.0,-154.0
41,6.0,6.0,6.0,-218.0
42,14.0,14.0,14.0,-172.0
43,12.0,12.0,12.0,-198.0
44,4.0,4.0,4.0,-168.0
45,6.0,6.0,6.0,-184.0
46,38.0,38.0,38.0,-184.0
47,14.0,14.0,14.0,-192.0
48,4.0,4.0,4.0,-170.0
49,2.0,2.0,2.0,-214.0
50,24.0,24.0,24.0,-208.0
51,4.0,4.0,4.0,-196.0
52,8.0,8.0,8.0,-200.0
53,8.0,8.0,8.0,-146.0
54,14.0,14.0,14.0,-210.0
